Home Team,Away Team
Cagliari Calcio,AC Monza
ACF Fiorentina,Atalanta BC
FC Internazionale Milano,Udinese Calcio
SSC Napoli,AC Milan
Hellas Verona FC,Parma Calcio 1913
SS Lazio,Torino FC
Genoa CFC,Udinese Calcio
AC Monza,Como 1907
Parma Calcio 1913,FC Internazionale Milano
AC Milan,ACF Fiorentina
US Lecce,Venezia FC
Empoli FC,Cagliari Calcio
Torino FC,Hellas Verona FC
Atalanta BC,SS Lazio
AS Roma,Juventus FC
Bologna FC 1909,SSC Napoli
Udinese Calcio,AC Milan
Venezia FC,AC Monza
FC Internazionale Milano,Cagliari Calcio
Juventus FC,US Lecce
Atalanta BC,Bologna FC 1909
Hellas Verona FC,Genoa CFC
ACF Fiorentina,Parma Calcio 1913
Como 1907,Torino FC
SS Lazio,AS Roma
SSC Napoli,Empoli FC
US Lecce,Como 1907
AC Monza,SSC Napoli
AS Roma,Hellas Verona FC
Empoli FC,Venezia FC
Bologna FC 1909,FC Internazionale Milano
AC Milan,Atalanta BC
Cagliari Calcio,ACF Fiorentina
Genoa CFC,SS Lazio
Parma Calcio 1913,Juventus FC
Torino FC,Udinese Calcio
Como 1907,Genoa CFC
Venezia FC,AC Milan
ACF Fiorentina,Empoli FC
FC Internazionale Milano,AS Roma
Juventus FC,AC Monza
Atalanta BC,US Lecce
SSC Napoli,Torino FC
Udinese Calcio,Bologna FC 1909
SS Lazio,Parma Calcio 1913
Hellas Verona FC,Cagliari Calcio
Torino FC,Venezia FC
Cagliari Calcio,Udinese Calcio
Parma Calcio 1913,Como 1907
US Lecce,SSC Napoli
FC Internazionale Milano,Hellas Verona FC
Empoli FC,SS Lazio
AC Monza,Atalanta BC
AS Roma,ACF Fiorentina
Bologna FC 1909,Juventus FC
Genoa CFC,AC Milan
AC Milan,Bologna FC 1909
Como 1907,Cagliari Calcio
SS Lazio,Juventus FC
Empoli FC,Parma Calcio 1913
Udinese Calcio,AC Monza
Hellas Verona FC,US Lecce
Torino FC,FC Internazionale Milano
SSC Napoli,Genoa CFC
Venezia FC,ACF Fiorentina
Atalanta BC,AS Roma
Genoa CFC,Atalanta BC
Cagliari Calcio,Venezia FC
ACF Fiorentina,Bologna FC 1909
FC Internazionale Milano,SS Lazio
Juventus FC,Udinese Calcio
US Lecce,Torino FC
AC Monza,Empoli FC
Parma Calcio 1913,SSC Napoli
AS Roma,AC Milan
Hellas Verona FC,Como 1907
Como 1907,FC Internazionale Milano
SSC Napoli,Cagliari Calcio
Bologna FC 1909,Genoa CFC
AC Milan,AC Monza
Atalanta BC,Parma Calcio 1913
Empoli FC,Hellas Verona FC
SS Lazio,US Lecce
Torino FC,AS Roma
Udinese Calcio,ACF Fiorentina
Venezia FC,Juventus FC
