Home Team,Away Team
Borussia Dortmund,1. FC Union Berlin
RB Leipzig,1. FC Heidenheim 1846
FC Bayern München,Eintracht Frankfurt
TSG 1899 Hoffenheim,VfB Stuttgart
VfB Stuttgart,FC Bayern München
FC St. Pauli 1910,Borussia Dortmund
VfL Bochum 1848,TSG 1899 Hoffenheim
SV Werder Bremen,VfL Wolfsburg
1. FC Heidenheim 1846,Borussia Mönchengladbach
RB Leipzig,1. FSV Mainz 05
Eintracht Frankfurt,Bayer 04 Leverkusen
1. FC Union Berlin,Holstein Kiel
FC Augsburg,SC Freiburg
Borussia Mönchengladbach,1. FSV Mainz 05
Holstein Kiel,VfB Stuttgart
VfL Wolfsburg,FC St. Pauli 1910
Borussia Dortmund,FC Augsburg
FC Bayern München,VfL Bochum 1848
Bayer 04 Leverkusen,SV Werder Bremen
SC Freiburg,RB Leipzig
Eintracht Frankfurt,1. FC Union Berlin
TSG 1899 Hoffenheim,1. FC Heidenheim 1846
FC St. Pauli 1910,TSG 1899 Hoffenheim
1. FC Union Berlin,FC Bayern München
1. FSV Mainz 05,SC Freiburg
FC Augsburg,VfL Wolfsburg
SV Werder Bremen,Borussia Mönchengladbach
RB Leipzig,Borussia Dortmund
VfL Bochum 1848,Eintracht Frankfurt
1. FC Heidenheim 1846,Holstein Kiel
VfB Stuttgart,Bayer 04 Leverkusen
Bayer 04 Leverkusen,VfL Bochum 1848
Holstein Kiel,SV Werder Bremen
Borussia Mönchengladbach,RB Leipzig
VfL Wolfsburg,1. FC Heidenheim 1846
TSG 1899 Hoffenheim,FC Augsburg
FC Bayern München,FC St. Pauli 1910
Eintracht Frankfurt,VfB Stuttgart
SC Freiburg,1. FC Union Berlin
Borussia Dortmund,1. FSV Mainz 05
FC Augsburg,FC Bayern München
VfL Bochum 1848,VfB Stuttgart
1. FSV Mainz 05,Holstein Kiel
SC Freiburg,Borussia Dortmund
1. FC Heidenheim 1846,Bayer 04 Leverkusen
RB Leipzig,TSG 1899 Hoffenheim
SV Werder Bremen,Eintracht Frankfurt
FC St. Pauli 1910,Borussia Mönchengladbach
1. FC Union Berlin,VfL Wolfsburg
VfL Wolfsburg,RB Leipzig
Holstein Kiel,FC St. Pauli 1910
VfL Bochum 1848,FC Augsburg
Borussia Mönchengladbach,SC Freiburg
TSG 1899 Hoffenheim,1. FSV Mainz 05
Bayer 04 Leverkusen,1. FC Union Berlin
FC Bayern München,Borussia Dortmund
VfB Stuttgart,SV Werder Bremen
Eintracht Frankfurt,1. FC Heidenheim 1846
1. FSV Mainz 05,VfL Wolfsburg
SC Freiburg,TSG 1899 Hoffenheim
SV Werder Bremen,VfL Bochum 1848
1. FC Heidenheim 1846,FC Bayern München
RB Leipzig,Holstein Kiel
1. FC Union Berlin,VfB Stuttgart
FC Augsburg,Eintracht Frankfurt
Borussia Dortmund,Borussia Mönchengladbach
FC St. Pauli 1910,Bayer 04 Leverkusen
VfB Stuttgart,1. FC Heidenheim 1846
Holstein Kiel,Borussia Mönchengladbach
VfL Wolfsburg,SC Freiburg
TSG 1899 Hoffenheim,Borussia Dortmund
FC Bayern München,1. FSV Mainz 05
Bayer 04 Leverkusen,FC Augsburg
Eintracht Frankfurt,RB Leipzig
VfL Bochum 1848,1. FC Union Berlin
SV Werder Bremen,FC St. Pauli 1910
1. FC Heidenheim 1846,VfL Bochum 1848
FC St. Pauli 1910,VfB Stuttgart
